"id";"dataset_constants";"task_hetero";"machine_hetero";"no_tasks_dist";"no_tasks";"no_machines_dist";"no_machines"
1252;16;"low";"low";"medium";34;"medium";2
1253;16;"low";"medium";"medium";34;"medium";2
1254;16;"low";"high";"medium";34;"medium";2
1255;16;"medium";"low";"medium";34;"medium";2
1256;16;"medium";"medium";"medium";34;"medium";2
1257;16;"medium";"high";"medium";34;"medium";2
1258;16;"high";"low";"medium";34;"medium";2
1259;16;"high";"medium";"medium";34;"medium";2
1260;16;"high";"high";"medium";34;"medium";2
1261;16;"low";"low";"medium";34;"high";2
1262;16;"low";"medium";"medium";34;"high";2
1263;16;"low";"high";"medium";34;"high";2
1264;16;"medium";"low";"medium";34;"high";2
1265;16;"medium";"medium";"medium";34;"high";2
1266;16;"medium";"high";"medium";34;"high";2
1267;16;"high";"low";"medium";34;"high";2
1268;16;"high";"medium";"medium";34;"high";2
1269;16;"high";"high";"medium";34;"high";2
1270;16;"low";"low";"high";43;"low";1
1271;16;"low";"medium";"high";43;"low";1
1272;16;"low";"high";"high";43;"low";1
1273;16;"medium";"low";"high";43;"low";1
1274;16;"medium";"medium";"high";43;"low";1
1275;16;"medium";"high";"high";43;"low";1
1276;16;"high";"low";"high";43;"low";1
1277;16;"high";"medium";"high";43;"low";1
1278;16;"high";"high";"high";43;"low";1
1279;16;"low";"low";"high";43;"medium";2
1280;16;"low";"medium";"high";43;"medium";2
1281;16;"low";"high";"high";43;"medium";2
1282;16;"medium";"low";"high";43;"medium";2
1283;16;"medium";"medium";"high";43;"medium";2
1284;16;"medium";"high";"high";43;"medium";2
1285;16;"high";"low";"high";43;"medium";2
1286;16;"high";"medium";"high";43;"medium";2
1287;16;"high";"high";"high";43;"medium";2
1288;16;"low";"low";"high";43;"high";2
1289;16;"low";"medium";"high";43;"high";2
1290;16;"low";"high";"high";43;"high";2
1291;16;"medium";"low";"high";43;"high";2
1292;16;"medium";"medium";"high";43;"high";2
1293;16;"medium";"high";"high";43;"high";2
1294;16;"high";"low";"high";43;"high";2
1295;16;"high";"medium";"high";43;"high";2
1296;16;"high";"high";"high";43;"high";2
1297;17;"low";"low";"low";13;"low";6
1298;17;"low";"medium";"low";13;"low";6
1299;17;"low";"high";"low";13;"low";6
1300;17;"medium";"low";"low";13;"low";6
1301;17;"medium";"medium";"low";13;"low";6
1302;17;"medium";"high";"low";13;"low";6
1303;17;"high";"low";"low";13;"low";6
1304;17;"high";"medium";"low";13;"low";6
1305;17;"high";"high";"low";13;"low";6
1306;17;"low";"low";"low";13;"medium";70
1307;17;"low";"medium";"low";13;"medium";70
1308;17;"low";"high";"low";13;"medium";70
1309;17;"medium";"low";"low";13;"medium";70
1310;17;"medium";"medium";"low";13;"medium";70
1311;17;"medium";"high";"low";13;"medium";70
1312;17;"high";"low";"low";13;"medium";70
1313;17;"high";"medium";"low";13;"medium";70
1314;17;"high";"high";"low";13;"medium";70
1315;17;"low";"low";"low";13;"high";71
1316;17;"low";"medium";"low";13;"high";71
1317;17;"low";"high";"low";13;"high";71
1318;17;"medium";"low";"low";13;"high";71
1319;17;"medium";"medium";"low";13;"high";71
1320;17;"medium";"high";"low";13;"high";71
1321;17;"high";"low";"low";13;"high";71
1322;17;"high";"medium";"low";13;"high";71
1323;17;"high";"high";"low";13;"high";71
1324;17;"low";"low";"medium";24;"low";1
1325;17;"low";"medium";"medium";24;"low";1
1326;17;"low";"high";"medium";24;"low";1
1327;17;"medium";"low";"medium";24;"low";1
1328;17;"medium";"medium";"medium";24;"low";1
1329;17;"medium";"high";"medium";24;"low";1
1330;17;"high";"low";"medium";24;"low";1
1331;17;"high";"medium";"medium";24;"low";1
1332;17;"high";"high";"medium";24;"low";1
1333;17;"low";"low";"medium";24;"medium";64
1334;17;"low";"medium";"medium";24;"medium";64
1335;17;"low";"high";"medium";24;"medium";64
1336;17;"medium";"low";"medium";24;"medium";64
1337;17;"medium";"medium";"medium";24;"medium";64
1338;17;"medium";"high";"medium";24;"medium";64
1339;17;"high";"low";"medium";24;"medium";64
1340;17;"high";"medium";"medium";24;"medium";64
1341;17;"high";"high";"medium";24;"medium";64
1342;17;"low";"low";"medium";24;"high";51
1343;17;"low";"medium";"medium";24;"high";51
1344;17;"low";"high";"medium";24;"high";51
1345;17;"medium";"low";"medium";24;"high";51
1346;17;"medium";"medium";"medium";24;"high";51
1347;17;"medium";"high";"medium";24;"high";51
1348;17;"high";"low";"medium";24;"high";51
1349;17;"high";"medium";"medium";24;"high";51
1350;17;"high";"high";"medium";24;"high";51
1351;17;"low";"low";"high";44;"low";20
1352;17;"low";"medium";"high";44;"low";20
1353;17;"low";"high";"high";44;"low";20
1354;17;"medium";"low";"high";44;"low";20
1355;17;"medium";"medium";"high";44;"low";20
1356;17;"medium";"high";"high";44;"low";20
1357;17;"high";"low";"high";44;"low";20
1358;17;"high";"medium";"high";44;"low";20
1359;17;"high";"high";"high";44;"low";20
1360;17;"low";"low";"high";44;"medium";58
1361;17;"low";"medium";"high";44;"medium";58
1362;17;"low";"high";"high";44;"medium";58
1363;17;"medium";"low";"high";44;"medium";58
1364;17;"medium";"medium";"high";44;"medium";58
1365;17;"medium";"high";"high";44;"medium";58
1366;17;"high";"low";"high";44;"medium";58
1367;17;"high";"medium";"high";44;"medium";58
1368;17;"high";"high";"high";44;"medium";58
1369;17;"low";"low";"high";44;"high";51
1370;17;"low";"medium";"high";44;"high";51
1371;17;"low";"high";"high";44;"high";51
1372;17;"medium";"low";"high";44;"high";51
1373;17;"medium";"medium";"high";44;"high";51
1374;17;"medium";"high";"high";44;"high";51
1375;17;"high";"low";"high";44;"high";51
1376;17;"high";"medium";"high";44;"high";51
1377;17;"high";"high";"high";44;"high";51
1378;18;"low";"low";"low";13;"low";7
1379;18;"low";"medium";"low";13;"low";7
1380;18;"low";"high";"low";13;"low";7
1381;18;"medium";"low";"low";13;"low";7
1382;18;"medium";"medium";"low";13;"low";7
1383;18;"medium";"high";"low";13;"low";7
1384;18;"high";"low";"low";13;"low";7
1385;18;"high";"medium";"low";13;"low";7
1386;18;"high";"high";"low";13;"low";7
1387;18;"low";"low";"low";13;"medium";20
1388;18;"low";"medium";"low";13;"medium";20
1389;18;"low";"high";"low";13;"medium";20
1390;18;"medium";"low";"low";13;"medium";20
1391;18;"medium";"medium";"low";13;"medium";20
1392;18;"medium";"high";"low";13;"medium";20
1393;18;"high";"low";"low";13;"medium";20
1394;18;"high";"medium";"low";13;"medium";20
1395;18;"high";"high";"low";13;"medium";20
1396;18;"low";"low";"low";13;"high";19
1397;18;"low";"medium";"low";13;"high";19
1398;18;"low";"high";"low";13;"high";19
1399;18;"medium";"low";"low";13;"high";19
1400;18;"medium";"medium";"low";13;"high";19
1401;18;"medium";"high";"low";13;"high";19
1402;18;"high";"low";"low";13;"high";19
1403;18;"high";"medium";"low";13;"high";19
1404;18;"high";"high";"low";13;"high";19
1405;18;"low";"low";"medium";25;"low";7
1406;18;"low";"medium";"medium";25;"low";7
1407;18;"low";"high";"medium";25;"low";7
1408;18;"medium";"low";"medium";25;"low";7
1409;18;"medium";"medium";"medium";25;"low";7
1410;18;"medium";"high";"medium";25;"low";7
1411;18;"high";"low";"medium";25;"low";7
1412;18;"high";"medium";"medium";25;"low";7
1413;18;"high";"high";"medium";25;"low";7
1414;18;"low";"low";"medium";25;"medium";21
1415;18;"low";"medium";"medium";25;"medium";21
1416;18;"low";"high";"medium";25;"medium";21
1417;18;"medium";"low";"medium";25;"medium";21
1418;18;"medium";"medium";"medium";25;"medium";21
1419;18;"medium";"high";"medium";25;"medium";21
1420;18;"high";"low";"medium";25;"medium";21
1421;18;"high";"medium";"medium";25;"medium";21
1422;18;"high";"high";"medium";25;"medium";21
1423;18;"low";"low";"medium";25;"high";22
1424;18;"low";"medium";"medium";25;"high";22
1425;18;"low";"high";"medium";25;"high";22
1426;18;"medium";"low";"medium";25;"high";22
1427;18;"medium";"medium";"medium";25;"high";22
1428;18;"medium";"high";"medium";25;"high";22
1429;18;"high";"low";"medium";25;"high";22
1430;18;"high";"medium";"medium";25;"high";22
1431;18;"high";"high";"medium";25;"high";22
1432;18;"low";"low";"high";53;"low";1
1433;18;"low";"medium";"high";53;"low";1
1434;18;"low";"high";"high";53;"low";1
1435;18;"medium";"low";"high";53;"low";1
1436;18;"medium";"medium";"high";53;"low";1
1437;18;"medium";"high";"high";53;"low";1
1438;18;"high";"low";"high";53;"low";1
1439;18;"high";"medium";"high";53;"low";1
1440;18;"high";"high";"high";53;"low";1
1441;18;"low";"low";"high";53;"medium";18
1442;18;"low";"medium";"high";53;"medium";18
1443;18;"low";"high";"high";53;"medium";18
1444;18;"medium";"low";"high";53;"medium";18
1445;18;"medium";"medium";"high";53;"medium";18
1446;18;"medium";"high";"high";53;"medium";18
1447;18;"high";"low";"high";53;"medium";18
1448;18;"high";"medium";"high";53;"medium";18
1449;18;"high";"high";"high";53;"medium";18
1450;18;"low";"low";"high";53;"high";23
1451;18;"low";"medium";"high";53;"high";23
1452;18;"low";"high";"high";53;"high";23
1453;18;"medium";"low";"high";53;"high";23
1454;18;"medium";"medium";"high";53;"high";23
1455;18;"medium";"high";"high";53;"high";23
1456;18;"high";"low";"high";53;"high";23
1457;18;"high";"medium";"high";53;"high";23
1458;18;"high";"high";"high";53;"high";23
1459;19;"low";"low";"low";1;"low";7
1460;19;"low";"medium";"low";1;"low";7
1461;19;"low";"high";"low";1;"low";7
1462;19;"medium";"low";"low";1;"low";7
1463;19;"medium";"medium";"low";1;"low";7
1464;19;"medium";"high";"low";1;"low";7
1465;19;"high";"low";"low";1;"low";7
1466;19;"high";"medium";"low";1;"low";7
1467;19;"high";"high";"low";1;"low";7
1468;19;"low";"low";"low";1;"medium";32
1469;19;"low";"medium";"low";1;"medium";32
1470;19;"low";"high";"low";1;"medium";32
1471;19;"medium";"low";"low";1;"medium";32
1472;19;"medium";"medium";"low";1;"medium";32
1473;19;"medium";"high";"low";1;"medium";32
1474;19;"high";"low";"low";1;"medium";32
1475;19;"high";"medium";"low";1;"medium";32
1476;19;"high";"high";"low";1;"medium";32
1477;19;"low";"low";"low";1;"high";27
1478;19;"low";"medium";"low";1;"high";27
1479;19;"low";"high";"low";1;"high";27
1480;19;"medium";"low";"low";1;"high";27
1481;19;"medium";"medium";"low";1;"high";27
1482;19;"medium";"high";"low";1;"high";27
1483;19;"high";"low";"low";1;"high";27
1484;19;"high";"medium";"low";1;"high";27
1485;19;"high";"high";"low";1;"high";27
1486;19;"low";"low";"medium";1;"low";1
1487;19;"low";"medium";"medium";1;"low";1
1488;19;"low";"high";"medium";1;"low";1
1489;19;"medium";"low";"medium";1;"low";1
1490;19;"medium";"medium";"medium";1;"low";1
1491;19;"medium";"high";"medium";1;"low";1
1492;19;"high";"low";"medium";1;"low";1
1493;19;"high";"medium";"medium";1;"low";1
1494;19;"high";"high";"medium";1;"low";1
1495;19;"low";"low";"medium";1;"medium";24
1496;19;"low";"medium";"medium";1;"medium";24
1497;19;"low";"high";"medium";1;"medium";24
1498;19;"medium";"low";"medium";1;"medium";24
1499;19;"medium";"medium";"medium";1;"medium";24
1500;19;"medium";"high";"medium";1;"medium";24
1501;19;"high";"low";"medium";1;"medium";24
1502;19;"high";"medium";"medium";1;"medium";24
1503;19;"high";"high";"medium";1;"medium";24
1504;19;"low";"low";"medium";1;"high";32
1505;19;"low";"medium";"medium";1;"high";32
1506;19;"low";"high";"medium";1;"high";32
1507;19;"medium";"low";"medium";1;"high";32
1508;19;"medium";"medium";"medium";1;"high";32
1509;19;"medium";"high";"medium";1;"high";32
1510;19;"high";"low";"medium";1;"high";32
1511;19;"high";"medium";"medium";1;"high";32
1512;19;"high";"high";"medium";1;"high";32
1513;19;"low";"low";"high";2;"low";8
1514;19;"low";"medium";"high";2;"low";8
1515;19;"low";"high";"high";2;"low";8
1516;19;"medium";"low";"high";2;"low";8
1517;19;"medium";"medium";"high";2;"low";8
1518;19;"medium";"high";"high";2;"low";8
1519;19;"high";"low";"high";2;"low";8
1520;19;"high";"medium";"high";2;"low";8
1521;19;"high";"high";"high";2;"low";8
1522;19;"low";"low";"high";2;"medium";32
1523;19;"low";"medium";"high";2;"medium";32
1524;19;"low";"high";"high";2;"medium";32
1525;19;"medium";"low";"high";2;"medium";32
1526;19;"medium";"medium";"high";2;"medium";32
1527;19;"medium";"high";"high";2;"medium";32
1528;19;"high";"low";"high";2;"medium";32
1529;19;"high";"medium";"high";2;"medium";32
1530;19;"high";"high";"high";2;"medium";32
1531;19;"low";"low";"high";2;"high";24
1532;19;"low";"medium";"high";2;"high";24
1533;19;"low";"high";"high";2;"high";24
1534;19;"medium";"low";"high";2;"high";24
1535;19;"medium";"medium";"high";2;"high";24
1536;19;"medium";"high";"high";2;"high";24
1537;19;"high";"low";"high";2;"high";24
1538;19;"high";"medium";"high";2;"high";24
1539;19;"high";"high";"high";2;"high";24
1540;20;"low";"low";"low";20;"low";17
1541;20;"low";"medium";"low";20;"low";17
1542;20;"low";"high";"low";20;"low";17
1543;20;"medium";"low";"low";20;"low";17
1544;20;"medium";"medium";"low";20;"low";17
1545;20;"medium";"high";"low";20;"low";17
1546;20;"high";"low";"low";20;"low";17
1547;20;"high";"medium";"low";20;"low";17
1548;20;"high";"high";"low";20;"low";17
1549;20;"low";"low";"low";20;"medium";70
1550;20;"low";"medium";"low";20;"medium";70
1551;20;"low";"high";"low";20;"medium";70
1552;20;"medium";"low";"low";20;"medium";70
1553;20;"medium";"medium";"low";20;"medium";70
1554;20;"medium";"high";"low";20;"medium";70
1555;20;"high";"low";"low";20;"medium";70
1556;20;"high";"medium";"low";20;"medium";70
1557;20;"high";"high";"low";20;"medium";70
1558;20;"low";"low";"low";20;"high";73
1559;20;"low";"medium";"low";20;"high";73
1560;20;"low";"high";"low";20;"high";73
1561;20;"medium";"low";"low";20;"high";73
1562;20;"medium";"medium";"low";20;"high";73
1563;20;"medium";"high";"low";20;"high";73
1564;20;"high";"low";"low";20;"high";73
1565;20;"high";"medium";"low";20;"high";73
1566;20;"high";"high";"low";20;"high";73
1567;20;"low";"low";"medium";50;"low";21
1568;20;"low";"medium";"medium";50;"low";21
1569;20;"low";"high";"medium";50;"low";21
1570;20;"medium";"low";"medium";50;"low";21
1571;20;"medium";"medium";"medium";50;"low";21
1572;20;"medium";"high";"medium";50;"low";21
1573;20;"high";"low";"medium";50;"low";21
1574;20;"high";"medium";"medium";50;"low";21
1575;20;"high";"high";"medium";50;"low";21
1576;20;"low";"low";"medium";50;"medium";60
1577;20;"low";"medium";"medium";50;"medium";60
1578;20;"low";"high";"medium";50;"medium";60
1579;20;"medium";"low";"medium";50;"medium";60
1580;20;"medium";"medium";"medium";50;"medium";60
1581;20;"medium";"high";"medium";50;"medium";60
1582;20;"high";"low";"medium";50;"medium";60
1583;20;"high";"medium";"medium";50;"medium";60
1584;20;"high";"high";"medium";50;"medium";60
1585;20;"low";"low";"medium";50;"high";54
1586;20;"low";"medium";"medium";50;"high";54
1587;20;"low";"high";"medium";50;"high";54
1588;20;"medium";"low";"medium";50;"high";54
1589;20;"medium";"medium";"medium";50;"high";54
1590;20;"medium";"high";"medium";50;"high";54
1591;20;"high";"low";"medium";50;"high";54
1592;20;"high";"medium";"medium";50;"high";54
1593;20;"high";"high";"medium";50;"high";54
1594;20;"low";"low";"high";68;"low";8
1595;20;"low";"medium";"high";68;"low";8
1596;20;"low";"high";"high";68;"low";8
1597;20;"medium";"low";"high";68;"low";8
1598;20;"medium";"medium";"high";68;"low";8
1599;20;"medium";"high";"high";68;"low";8
1600;20;"high";"low";"high";68;"low";8
1601;20;"high";"medium";"high";68;"low";8
1602;20;"high";"high";"high";68;"low";8
1603;20;"low";"low";"high";68;"medium";52
1604;20;"low";"medium";"high";68;"medium";52
1605;20;"low";"high";"high";68;"medium";52
1606;20;"medium";"low";"high";68;"medium";52
1607;20;"medium";"medium";"high";68;"medium";52
1608;20;"medium";"high";"high";68;"medium";52
1609;20;"high";"low";"high";68;"medium";52
1610;20;"high";"medium";"high";68;"medium";52
1611;20;"high";"high";"high";68;"medium";52
1612;20;"low";"low";"high";68;"high";53
1613;20;"low";"medium";"high";68;"high";53
1614;20;"low";"high";"high";68;"high";53
1615;20;"medium";"low";"high";68;"high";53
1616;20;"medium";"medium";"high";68;"high";53
1617;20;"medium";"high";"high";68;"high";53
1618;20;"high";"low";"high";68;"high";53
1619;20;"high";"medium";"high";68;"high";53
1620;20;"high";"high";"high";68;"high";53
1621;21;"low";"low";"low";2;"low";16
1622;21;"low";"medium";"low";2;"low";16
1623;21;"low";"high";"low";2;"low";16
1624;21;"medium";"low";"low";2;"low";16
1625;21;"medium";"medium";"low";2;"low";16
1626;21;"medium";"high";"low";2;"low";16
1627;21;"high";"low";"low";2;"low";16
1628;21;"high";"medium";"low";2;"low";16
1629;21;"high";"high";"low";2;"low";16
1630;21;"low";"low";"low";2;"medium";69
1631;21;"low";"medium";"low";2;"medium";69
1632;21;"low";"high";"low";2;"medium";69
1633;21;"medium";"low";"low";2;"medium";69
1634;21;"medium";"medium";"low";2;"medium";69
1635;21;"medium";"high";"low";2;"medium";69
1636;21;"high";"low";"low";2;"medium";69
1637;21;"high";"medium";"low";2;"medium";69
1638;21;"high";"high";"low";2;"medium";69
1639;21;"low";"low";"low";2;"high";70
1640;21;"low";"medium";"low";2;"high";70
1641;21;"low";"high";"low";2;"high";70
1642;21;"medium";"low";"low";2;"high";70
1643;21;"medium";"medium";"low";2;"high";70
1644;21;"medium";"high";"low";2;"high";70
1645;21;"high";"low";"low";2;"high";70
1646;21;"high";"medium";"low";2;"high";70
1647;21;"high";"high";"low";2;"high";70
1648;21;"low";"low";"medium";17;"low";19
1649;21;"low";"medium";"medium";17;"low";19
1650;21;"low";"high";"medium";17;"low";19
1651;21;"medium";"low";"medium";17;"low";19
1652;21;"medium";"medium";"medium";17;"low";19
1653;21;"medium";"high";"medium";17;"low";19
1654;21;"high";"low";"medium";17;"low";19
1655;21;"high";"medium";"medium";17;"low";19
1656;21;"high";"high";"medium";17;"low";19
1657;21;"low";"low";"medium";17;"medium";76
1658;21;"low";"medium";"medium";17;"medium";76
1659;21;"low";"high";"medium";17;"medium";76
1660;21;"medium";"low";"medium";17;"medium";76
1661;21;"medium";"medium";"medium";17;"medium";76
1662;21;"medium";"high";"medium";17;"medium";76
1663;21;"high";"low";"medium";17;"medium";76
1664;21;"high";"medium";"medium";17;"medium";76
1665;21;"high";"high";"medium";17;"medium";76
1666;21;"low";"low";"medium";17;"high";76
1667;21;"low";"medium";"medium";17;"high";76
1668;21;"low";"high";"medium";17;"high";76
1669;21;"medium";"low";"medium";17;"high";76
1670;21;"medium";"medium";"medium";17;"high";76
1671;21;"medium";"high";"medium";17;"high";76
1672;21;"high";"low";"medium";17;"high";76
1673;21;"high";"medium";"medium";17;"high";76
1674;21;"high";"high";"medium";17;"high";76
1675;21;"low";"low";"high";25;"low";25
1676;21;"low";"medium";"high";25;"low";25
1677;21;"low";"high";"high";25;"low";25
1678;21;"medium";"low";"high";25;"low";25
1679;21;"medium";"medium";"high";25;"low";25
1680;21;"medium";"high";"high";25;"low";25
1681;21;"high";"low";"high";25;"low";25
1682;21;"high";"medium";"high";25;"low";25
1683;21;"high";"high";"high";25;"low";25
1684;21;"low";"low";"high";25;"medium";72
1685;21;"low";"medium";"high";25;"medium";72
1686;21;"low";"high";"high";25;"medium";72
1687;21;"medium";"low";"high";25;"medium";72
1688;21;"medium";"medium";"high";25;"medium";72
1689;21;"medium";"high";"high";25;"medium";72
1690;21;"high";"low";"high";25;"medium";72
1691;21;"high";"medium";"high";25;"medium";72
1692;21;"high";"high";"high";25;"medium";72
1693;21;"low";"low";"high";25;"high";92
1694;21;"low";"medium";"high";25;"high";92
1695;21;"low";"high";"high";25;"high";92
1696;21;"medium";"low";"high";25;"high";92
1697;21;"medium";"medium";"high";25;"high";92
1698;21;"medium";"high";"high";25;"high";92
1699;21;"high";"low";"high";25;"high";92
1700;21;"high";"medium";"high";25;"high";92
1701;21;"high";"high";"high";25;"high";92
1702;22;"low";"low";"low";7;"low";8
1703;22;"low";"medium";"low";7;"low";8
1704;22;"low";"high";"low";7;"low";8
1705;22;"medium";"low";"low";7;"low";8
1706;22;"medium";"medium";"low";7;"low";8
1707;22;"medium";"high";"low";7;"low";8
1708;22;"high";"low";"low";7;"low";8
1709;22;"high";"medium";"low";7;"low";8
1710;22;"high";"high";"low";7;"low";8
1711;22;"low";"low";"low";7;"medium";34
1712;22;"low";"medium";"low";7;"medium";34
1713;22;"low";"high";"low";7;"medium";34
1714;22;"medium";"low";"low";7;"medium";34
1715;22;"medium";"medium";"low";7;"medium";34
1716;22;"medium";"high";"low";7;"medium";34
1717;22;"high";"low";"low";7;"medium";34
1718;22;"high";"medium";"low";7;"medium";34
1719;22;"high";"high";"low";7;"medium";34
1720;22;"low";"low";"low";7;"high";37
1721;22;"low";"medium";"low";7;"high";37
1722;22;"low";"high";"low";7;"high";37
1723;22;"medium";"low";"low";7;"high";37
1724;22;"medium";"medium";"low";7;"high";37
1725;22;"medium";"high";"low";7;"high";37
1726;22;"high";"low";"low";7;"high";37
1727;22;"high";"medium";"low";7;"high";37
1728;22;"high";"high";"low";7;"high";37
1729;22;"low";"low";"medium";17;"low";4
1730;22;"low";"medium";"medium";17;"low";4
1731;22;"low";"high";"medium";17;"low";4
1732;22;"medium";"low";"medium";17;"low";4
1733;22;"medium";"medium";"medium";17;"low";4
1734;22;"medium";"high";"medium";17;"low";4
1735;22;"high";"low";"medium";17;"low";4
1736;22;"high";"medium";"medium";17;"low";4
1737;22;"high";"high";"medium";17;"low";4
1738;22;"low";"low";"medium";17;"medium";34
1739;22;"low";"medium";"medium";17;"medium";34
1740;22;"low";"high";"medium";17;"medium";34
1741;22;"medium";"low";"medium";17;"medium";34
1742;22;"medium";"medium";"medium";17;"medium";34
1743;22;"medium";"high";"medium";17;"medium";34
1744;22;"high";"low";"medium";17;"medium";34
1745;22;"high";"medium";"medium";17;"medium";34
1746;22;"high";"high";"medium";17;"medium";34
1747;22;"low";"low";"medium";17;"high";31
1748;22;"low";"medium";"medium";17;"high";31
1749;22;"low";"high";"medium";17;"high";31
1750;22;"medium";"low";"medium";17;"high";31
1751;22;"medium";"medium";"medium";17;"high";31
1752;22;"medium";"high";"medium";17;"high";31
1753;22;"high";"low";"medium";17;"high";31
1754;22;"high";"medium";"medium";17;"high";31
1755;22;"high";"high";"medium";17;"high";31
1756;22;"low";"low";"high";29;"low";12
1757;22;"low";"medium";"high";29;"low";12
1758;22;"low";"high";"high";29;"low";12
1759;22;"medium";"low";"high";29;"low";12
1760;22;"medium";"medium";"high";29;"low";12
1761;22;"medium";"high";"high";29;"low";12
1762;22;"high";"low";"high";29;"low";12
1763;22;"high";"medium";"high";29;"low";12
1764;22;"high";"high";"high";29;"low";12
1765;22;"low";"low";"high";29;"medium";40
1766;22;"low";"medium";"high";29;"medium";40
1767;22;"low";"high";"high";29;"medium";40
1768;22;"medium";"low";"high";29;"medium";40
1769;22;"medium";"medium";"high";29;"medium";40
1770;22;"medium";"high";"high";29;"medium";40
1771;22;"high";"low";"high";29;"medium";40
1772;22;"high";"medium";"high";29;"medium";40
1773;22;"high";"high";"high";29;"medium";40
1774;22;"low";"low";"high";29;"high";39
1775;22;"low";"medium";"high";29;"high";39
1776;22;"low";"high";"high";29;"high";39
1777;22;"medium";"low";"high";29;"high";39
1778;22;"medium";"medium";"high";29;"high";39
1779;22;"medium";"high";"high";29;"high";39
1780;22;"high";"low";"high";29;"high";39
1781;22;"high";"medium";"high";29;"high";39
1782;22;"high";"high";"high";29;"high";39
1783;23;"low";"low";"low";9;"low";1
1784;23;"low";"medium";"low";9;"low";1
1785;23;"low";"high";"low";9;"low";1
1786;23;"medium";"low";"low";9;"low";1
1787;23;"medium";"medium";"low";9;"low";1
1788;23;"medium";"high";"low";9;"low";1
1789;23;"high";"low";"low";9;"low";1
1790;23;"high";"medium";"low";9;"low";1
1791;23;"high";"high";"low";9;"low";1
1792;23;"low";"low";"low";9;"medium";14
1793;23;"low";"medium";"low";9;"medium";14
1794;23;"low";"high";"low";9;"medium";14
1795;23;"medium";"low";"low";9;"medium";14
1796;23;"medium";"medium";"low";9;"medium";14
1797;23;"medium";"high";"low";9;"medium";14
1798;23;"high";"low";"low";9;"medium";14
1799;23;"high";"medium";"low";9;"medium";14
1800;23;"high";"high";"low";9;"medium";14
1801;23;"low";"low";"low";9;"high";12
1802;23;"low";"medium";"low";9;"high";12
1803;23;"low";"high";"low";9;"high";12
1804;23;"medium";"low";"low";9;"high";12
1805;23;"medium";"medium";"low";9;"high";12
1806;23;"medium";"high";"low";9;"high";12
1807;23;"high";"low";"low";9;"high";12
1808;23;"high";"medium";"low";9;"high";12
1809;23;"high";"high";"low";9;"high";12
1810;23;"low";"low";"medium";23;"low";2
1811;23;"low";"medium";"medium";23;"low";2
1812;23;"low";"high";"medium";23;"low";2
1813;23;"medium";"low";"medium";23;"low";2
1814;23;"medium";"medium";"medium";23;"low";2
1815;23;"medium";"high";"medium";23;"low";2
1816;23;"high";"low";"medium";23;"low";2
1817;23;"high";"medium";"medium";23;"low";2
1818;23;"high";"high";"medium";23;"low";2
1819;23;"low";"low";"medium";23;"medium";14
1820;23;"low";"medium";"medium";23;"medium";14
1821;23;"low";"high";"medium";23;"medium";14
1822;23;"medium";"low";"medium";23;"medium";14
1823;23;"medium";"medium";"medium";23;"medium";14
1824;23;"medium";"high";"medium";23;"medium";14
1825;23;"high";"low";"medium";23;"medium";14
1826;23;"high";"medium";"medium";23;"medium";14
1827;23;"high";"high";"medium";23;"medium";14
1828;23;"low";"low";"medium";23;"high";12
1829;23;"low";"medium";"medium";23;"high";12
1830;23;"low";"high";"medium";23;"high";12
1831;23;"medium";"low";"medium";23;"high";12
1832;23;"medium";"medium";"medium";23;"high";12
1833;23;"medium";"high";"medium";23;"high";12
1834;23;"high";"low";"medium";23;"high";12
1835;23;"high";"medium";"medium";23;"high";12
1836;23;"high";"high";"medium";23;"high";12
1837;23;"low";"low";"high";34;"low";4
1838;23;"low";"medium";"high";34;"low";4
1839;23;"low";"high";"high";34;"low";4
1840;23;"medium";"low";"high";34;"low";4
1841;23;"medium";"medium";"high";34;"low";4
1842;23;"medium";"high";"high";34;"low";4
1843;23;"high";"low";"high";34;"low";4
1844;23;"high";"medium";"high";34;"low";4
1845;23;"high";"high";"high";34;"low";4
1846;23;"low";"low";"high";34;"medium";12
1847;23;"low";"medium";"high";34;"medium";12
1848;23;"low";"high";"high";34;"medium";12
1849;23;"medium";"low";"high";34;"medium";12
1850;23;"medium";"medium";"high";34;"medium";12
1851;23;"medium";"high";"high";34;"medium";12
1852;23;"high";"low";"high";34;"medium";12
1853;23;"high";"medium";"high";34;"medium";12
1854;23;"high";"high";"high";34;"medium";12
1855;23;"low";"low";"high";34;"high";12
1856;23;"low";"medium";"high";34;"high";12
1857;23;"low";"high";"high";34;"high";12
1858;23;"medium";"low";"high";34;"high";12
1859;23;"medium";"medium";"high";34;"high";12
1860;23;"medium";"high";"high";34;"high";12
1861;23;"high";"low";"high";34;"high";12
1862;23;"high";"medium";"high";34;"high";12
1863;23;"high";"high";"high";34;"high";12
1864;24;"low";"low";"low";3;"low";8
1865;24;"low";"medium";"low";3;"low";8
1866;24;"low";"high";"low";3;"low";8
1867;24;"medium";"low";"low";3;"low";8
1868;24;"medium";"medium";"low";3;"low";8
1869;24;"medium";"high";"low";3;"low";8
1870;24;"high";"low";"low";3;"low";8
1871;24;"high";"medium";"low";3;"low";8
1872;24;"high";"high";"low";3;"low";8
1873;24;"low";"low";"low";3;"medium";29
1874;24;"low";"medium";"low";3;"medium";29
1875;24;"low";"high";"low";3;"medium";29
